business_date,year,month,day_name,dow_num,is_weekend,quarters,price_mean,price_median,price_min,price_max,price_std,res_share_mean,negative_quarters,spread_20
2024-07-05,2024,7,Friday,4,False,96,349.13,393.47,-3.12,736.64,217.27,0.3106,8,616.72
2024-07-06,2024,7,Saturday,5,True,96,258.53,389.3,-154.77,509.88,237.67,0.415,28,612.67
2024-07-07,2024,7,Sunday,6,True,96,355.6,316.08,87.81,745.01,197.66,0.3052,0,568.73
2024-07-08,2024,7,Monday,0,False,96,593.91,452.24,373.24,1431.58,287.85,0.2011,0,726.03
2024-07-09,2024,7,Tuesday,1,False,96,484.1,429.98,250.0,1037.57,203.49,0.2474,0,547.51
2024-07-10,2024,7,Wednesday,2,False,96,441.18,365.74,140.39,1005.99,234.06,0.3382,0,661.33
2024-07-11,2024,7,Thursday,3,False,96,632.66,503.64,407.75,1470.27,299.99,0.1832,0,767.91
2024-07-12,2024,7,Friday,4,False,96,518.98,441.24,351.51,929.84,163.72,0.214,0,428.57
2024-07-13,2024,7,Saturday,5,True,96,348.31,401.78,-54.19,862.63,284.15,0.3152,20,785.55
2024-07-14,2024,7,Sunday,6,True,96,422.16,414.39,85.6,898.76,231.69,0.2764,0,666.97
2024-07-15,2024,7,Monday,0,False,96,592.47,419.8,273.04,1645.69,393.66,0.2385,0,1007.56
2024-07-16,2024,7,Tuesday,1,False,96,636.52,428.94,276.23,1795.0,425.47,0.2506,0,1066.01
2024-07-17,2024,7,Wednesday,2,False,96,631.01,408.82,197.43,2040.23,514.06,0.2582,0,1322.11
2024-07-18,2024,7,Thursday,3,False,96,636.42,423.3,161.15,2342.25,585.07,0.2641,0,1498.12
2024-07-19,2024,7,Friday,4,False,96,567.14,416.18,205.21,1831.56,430.58,0.2352,0,1088.93
2024-07-20,2024,7,Saturday,5,True,96,413.05,417.82,29.88,1034.28,257.67,0.2637,0,750.91
2024-07-21,2024,7,Sunday,6,True,96,302.99,355.81,-19.04,766.9,233.92,0.2994,20,642.74
2024-07-22,2024,7,Monday,0,False,96,542.3,427.15,312.11,1432.8,271.61,0.2356,0,672.75
2024-07-23,2024,7,Tuesday,1,False,96,536.35,428.68,337.61,1313.7,261.21,0.2308,0,653.25
2024-07-24,2024,7,Wednesday,2,False,96,504.4,458.63,381.26,812.93,120.79,0.1833,0,318.81
2024-07-25,2024,7,Thursday,3,False,96,505.05,420.44,319.04,981.53,182.47,0.2351,0,487.11
2024-07-26,2024,7,Friday,4,False,96,484.36,436.98,325.4,881.56,139.94,0.2189,0,378.24
2024-07-27,2024,7,Saturday,5,True,96,456.64,441.86,348.14,680.3,86.23,0.1993,0,237.78
2024-07-28,2024,7,Sunday,6,True,96,227.68,351.79,-214.16,490.48,226.75,0.3623,28,567.43
2024-07-29,2024,7,Monday,0,False,96,277.23,301.95,-35.82,697.47,214.18,0.5062,20,593.91
2024-07-30,2024,7,Tuesday,1,False,96,368.83,383.14,6.8,871.3,214.9,0.3178,0,615.13
2024-07-31,2024,7,Wednesday,2,False,96,380.1,398.51,70.52,776.47,173.34,0.2583,0,493.89
2024-08-01,2024,8,Thursday,3,False,96,418.58,405.24,232.06,743.76,123.9,0.2319,0,347.25
2024-08-02,2024,8,Friday,4,False,96,463.22,449.71,376.26,671.13,76.28,0.1832,0,198.02
2024-08-03,2024,8,Saturday,5,True,96,448.01,458.02,297.22,579.83,72.8,0.2171,0,204.26
2024-08-04,2024,8,Sunday,6,True,96,334.46,389.21,31.7,494.75,147.62,0.2357,0,402.11
2024-08-05,2024,8,Monday,0,False,96,445.13,411.52,300.25,796.69,119.54,0.2329,0,318.57
2024-08-06,2024,8,Tuesday,1,False,96,474.87,457.52,300.75,968.83,154.46,0.2079,0,404.13
2024-08-07,2024,8,Wednesday,2,False,96,433.12,430.32,150.71,831.47,167.18,0.2404,0,471.82
2024-08-08,2024,8,Thursday,3,False,96,480.3,433.92,387.6,878.14,119.79,0.1958,0,284.12
2024-08-09,2024,8,Friday,4,False,96,360.76,388.08,40.92,592.94,157.84,0.2668,0,455.34
2024-08-10,2024,8,Saturday,5,True,96,236.84,387.9,-254.65,565.7,270.44,0.3506,28,703.57
2024-08-11,2024,8,Sunday,6,True,96,192.54,276.05,-318.75,612.01,300.26,0.4174,32,799.55
2024-08-12,2024,8,Monday,0,False,96,392.53,401.94,17.0,942.54,243.81,0.3056,0,687.91
2024-08-13,2024,8,Tuesday,1,False,96,401.72,418.42,23.57,897.35,228.01,0.3076,0,639.66
2024-08-14,2024,8,Wednesday,2,False,96,425.24,423.29,136.86,912.08,197.75,0.4264,0,552.41
2024-08-15,2024,8,Thursday,3,False,96,373.18,430.92,-26.34,856.59,240.34,0.3544,8,690.49
2024-08-16,2024,8,Friday,4,False,96,451.2,414.49,95.77,1084.49,239.25,0.2424,0,678.79
2024-08-17,2024,8,Saturday,5,True,96,467.86,475.24,228.44,885.86,159.65,0.2231,0,455.07
2024-08-18,2024,8,Sunday,6,True,96,398.42,422.27,172.77,608.19,110.29,0.2572,0,314.87
2024-08-19,2024,8,Monday,0,False,96,549.47,462.62,393.94,1268.68,217.64,0.2251,0,515.87
2024-08-20,2024,8,Tuesday,1,False,96,562.76,457.1,375.36,1409.15,263.15,0.1853,0,619.73
2024-08-21,2024,8,Wednesday,2,False,96,470.0,437.74,374.38,697.91,85.06,0.2377,0,230.03
2024-08-22,2024,8,Thursday,3,False,96,481.72,409.34,261.78,1136.58,209.76,0.2406,0,546.05
2024-08-23,2024,8,Friday,4,False,96,366.57,403.1,4.19,684.77,181.28,0.3696,0,514.97
2024-08-24,2024,8,Saturday,5,True,96,358.62,419.81,-118.15,853.56,270.01,0.3409,20,769.32
2024-08-25,2024,8,Sunday,6,True,96,211.58,69.38,-202.97,1105.58,385.74,0.4086,32,1061.58
2024-08-26,2024,8,Monday,0,False,96,550.04,454.96,381.28,1301.25,231.85,0.1824,0,548.67
2024-08-27,2024,8,Tuesday,1,False,96,510.47,440.64,204.48,1201.78,250.35,0.2623,0,661.54
2024-08-28,2024,8,Wednesday,2,False,96,435.28,396.56,31.31,1106.87,266.57,0.3266,0,738.88
2024-08-29,2024,8,Thursday,3,False,96,533.03,414.47,70.08,1645.52,391.23,0.2865,0,1017.27
2024-08-30,2024,8,Friday,4,False,96,634.12,479.16,286.55,1886.38,426.78,0.2388,0,1018.18
2024-08-31,2024,8,Saturday,5,True,96,415.52,450.86,0.03,895.99,232.43,0.2562,0,682.02
2024-09-01,2024,9,Sunday,6,True,96,312.85,397.28,-195.16,723.21,263.98,0.2736,16,743.35
2024-09-02,2024,9,Monday,0,False,96,599.79,497.68,299.1,1620.88,326.11,0.2521,0,798.59
2024-09-03,2024,9,Tuesday,1,False,96,660.34,486.66,287.79,2099.25,461.27,0.3126,0,1107.49
2024-09-04,2024,9,Wednesday,2,False,96,600.26,455.94,323.03,1798.22,359.24,0.3606,0,854.72
2024-09-05,2024,9,Thursday,3,False,96,394.46,384.46,29.66,1112.09,251.18,0.4086,0,702.07
2024-09-06,2024,9,Friday,4,False,96,390.92,371.68,35.99,1106.0,232.51,0.4131,0,634.85
2024-09-07,2024,9,Saturday,5,True,96,336.18,387.7,-11.41,693.85,198.21,0.3941,4,578.72
2024-09-08,2024,9,Sunday,6,True,96,278.4,340.84,-59.67,637.48,209.09,0.4695,16,580.85
2024-09-09,2024,9,Monday,0,False,96,456.93,424.17,330.22,744.44,109.74,0.3739,0,291.58
2024-09-10,2024,9,Tuesday,1,False,96,576.54,447.3,378.15,1693.84,299.5,0.1646,0,664.07
2024-09-11,2024,9,Wednesday,2,False,96,481.04,429.04,235.96,1401.92,253.86,0.2697,0,614.5
2024-09-12,2024,9,Thursday,3,False,96,615.21,465.56,383.6,1693.1,310.85,0.1073,0,739.52
2024-09-13,2024,9,Friday,4,False,96,446.23,442.6,279.5,664.23,78.88,0.2109,0,212.85
2024-09-14,2024,9,Saturday,5,True,96,259.54,248.65,81.07,478.28,106.21,0.4594,0,295.51
2024-09-15,2024,9,Sunday,6,True,96,263.13,265.14,-1.77,565.24,171.61,0.4156,8,495.3
2024-09-16,2024,9,Monday,0,False,96,464.65,421.88,350.02,711.89,106.74,0.2933,0,275.02
2024-09-17,2024,9,Tuesday,1,False,96,474.34,395.21,208.35,1130.24,212.1,0.2701,0,557.44
2024-09-18,2024,9,Wednesday,2,False,96,433.95,405.16,89.53,861.63,184.2,0.2344,0,518.66
2024-09-19,2024,9,Thursday,3,False,96,383.66,389.56,-6.01,788.1,196.92,0.2645,4,573.51
2024-09-20,2024,9,Friday,4,False,96,380.39,380.4,-33.22,799.86,204.34,0.3033,8,598.97
2024-09-21,2024,9,Saturday,5,True,96,375.59,409.68,-6.7,896.96,230.39,0.2406,12,653.45
2024-09-22,2024,9,Sunday,6,True,96,343.6,385.16,-32.02,907.89,237.07,0.2688,12,668.54
2024-09-23,2024,9,Monday,0,False,96,514.96,413.36,298.52,1343.03,243.79,0.2353,0,593.36
2024-09-24,2024,9,Tuesday,1,False,96,400.94,376.09,251.72,654.13,110.86,0.3308,0,317.07
2024-09-25,2024,9,Wednesday,2,False,96,338.54,323.37,66.45,842.7,187.81,0.3322,0,502.58
2024-09-26,2024,9,Thursday,3,False,96,291.25,300.18,74.05,433.84,99.53,0.3277,0,284.8
2024-09-27,2024,9,Friday,4,False,96,192.5,187.01,-37.36,468.43,166.15,0.4211,16,427.92
2024-09-28,2024,9,Saturday,5,True,96,161.08,23.28,-7.16,512.2,195.33,0.3986,16,470.51
2024-09-29,2024,9,Sunday,6,True,96,276.97,302.4,-2.88,747.02,196.83,0.3058,16,552.02
2024-09-30,2024,9,Monday,0,False,96,433.06,330.76,84.61,1004.89,233.04,0.2585,0,635.42
2024-10-01,2024,10,Tuesday,1,False,96,500.26,404.1,226.18,1331.47,273.96,0.2565,0,690.47
2024-10-02,2024,10,Wednesday,2,False,96,476.28,424.92,337.18,754.05,135.1,0.1132,0,353.58
2024-10-03,2024,10,Thursday,3,False,96,611.36,565.93,372.1,1137.88,211.04,0.1139,0,557.85
2024-10-04,2024,10,Friday,4,False,96,536.87,501.9,373.95,844.42,138.1,0.1222,0,374.21
2024-10-05,2024,10,Saturday,5,True,96,510.85,489.91,403.63,783.34,89.0,0.1119,0,229.83
2024-10-06,2024,10,Sunday,6,True,96,459.99,422.24,361.54,821.98,109.21,0.069,0,268.11
2024-10-07,2024,10,Monday,0,False,96,555.85,417.81,349.76,1326.7,269.91,0.1563,0,669.25
2024-10-08,2024,10,Tuesday,1,False,96,431.95,403.53,253.43,736.44,122.12,0.2552,0,345.01
2024-10-09,2024,10,Wednesday,2,False,96,431.04,404.57,342.82,635.78,79.75,0.2338,0,209.8
2024-10-10,2024,10,Thursday,3,False,96,272.48,276.9,35.87,497.8,129.08,0.3986,0,341.44
2024-10-11,2024,10,Friday,4,False,96,422.03,392.03,280.42,726.91,114.94,0.2694,0,309.79
2024-10-12,2024,10,Saturday,5,True,96,412.45,442.22,132.14,715.84,152.47,0.2702,0,435.85
2024-10-13,2024,10,Sunday,6,True,96,55.33,-0.06,-28.09,267.94,99.26,0.4169,48,249.76
2024-10-14,2024,10,Monday,0,False,96,432.21,412.1,38.95,999.33,229.62,0.3406,0,650.49
2024-10-15,2024,10,Tuesday,1,False,96,556.98,427.68,349.52,1123.83,224.79,0.1461,0,570.92
2024-10-16,2024,10,Wednesday,2,False,96,345.74,378.0,3.2,791.99,210.95,0.2985,0,592.48
2024-10-17,2024,10,Thursday,3,False,96,244.07,254.97,-21.14,649.44,216.22,0.4806,8,546.29
2024-10-18,2024,10,Friday,4,False,96,411.89,361.82,209.92,779.64,151.33,0.3841,0,414.76
2024-10-19,2024,10,Saturday,5,True,96,304.46,313.62,41.08,554.0,129.41,0.4309,0,377.88
2024-10-20,2024,10,Sunday,6,True,96,235.77,263.93,-1.76,432.22,138.53,0.3646,8,390.26
2024-10-21,2024,10,Monday,0,False,96,428.93,390.63,84.11,1161.18,280.38,0.262,0,778.22
2024-10-22,2024,10,Tuesday,1,False,96,509.84,433.14,305.12,913.98,186.47,0.2634,0,489.73
2024-10-23,2024,10,Wednesday,2,False,96,546.52,435.24,353.64,1153.36,234.86,0.2161,0,597.68
2024-10-24,2024,10,Thursday,3,False,96,544.86,428.47,331.74,1079.15,229.8,0.1658,0,596.38
2024-10-25,2024,10,Friday,4,False,96,553.35,450.2,318.78,1077.96,220.58,0.2233,0,586.73
2024-10-26,2024,10,Saturday,5,True,96,501.81,446.55,321.14,866.98,141.48,0.1419,0,380.31
2024-10-27,2024,10,Sunday,6,True,100,415.64,396.64,278.35,603.91,88.26,0.2111,0,252.24
2024-10-28,2024,10,Monday,0,False,96,578.32,493.02,382.29,1129.2,210.37,0.1575,0,553.66
2024-10-29,2024,10,Tuesday,1,False,96,627.47,550.07,414.21,1139.82,208.69,0.0874,0,559.99
2024-10-30,2024,10,Wednesday,2,False,96,543.8,500.68,419.64,835.54,121.91,0.2164,0,325.33
2024-10-31,2024,10,Thursday,3,False,96,431.47,422.0,166.0,580.28,92.96,0.2913,0,251.67
2024-11-01,2024,11,Friday,4,False,96,133.47,77.03,-19.82,342.5,116.36,0.5713,4,306.9
2024-11-02,2024,11,Saturday,5,True,96,428.89,409.38,231.56,695.15,131.14,0.3734,0,363.21
2024-11-03,2024,11,Sunday,6,True,96,369.45,379.71,154.23,540.29,101.27,0.3723,0,296.91
2024-11-04,2024,11,Monday,0,False,96,626.55,501.74,375.48,1420.07,294.01,0.1507,0,773.74
2024-11-05,2024,11,Tuesday,1,False,96,639.18,480.4,401.8,1638.79,341.38,0.1082,0,849.31
2024-11-06,2024,11,Wednesday,2,False,96,885.22,528.06,438.21,2749.45,664.03,0.0649,0,1630.33
2024-11-07,2024,11,Thursday,3,False,96,772.4,557.66,428.12,2165.63,452.42,0.034,0,1111.55
2024-11-08,2024,11,Friday,4,False,96,539.98,501.01,435.62,789.51,101.45,0.0494,0,267.88
2024-11-09,2024,11,Saturday,5,True,96,500.14,476.76,432.48,667.58,72.3,0.0692,0,192.79
2024-11-10,2024,11,Sunday,6,True,96,478.35,447.26,419.41,645.66,68.65,0.0386,0,177.98
2024-11-11,2024,11,Monday,0,False,96,531.31,516.19,418.27,755.35,96.56,0.027,0,269.29
2024-11-12,2024,11,Tuesday,1,False,96,740.97,682.76,435.28,1598.51,291.55,0.0102,0,768.24
2024-11-13,2024,11,Wednesday,2,False,96,758.92,830.4,452.82,1117.33,233.87,0.0253,0,606.51
2024-11-14,2024,11,Thursday,3,False,96,555.74,586.55,414.17,677.44,84.67,0.1547,0,226.99
2024-11-15,2024,11,Friday,4,False,96,521.75,550.18,389.45,665.73,80.16,0.1797,0,207.95
2024-11-16,2024,11,Saturday,5,True,96,371.67,367.8,190.77,486.93,63.72,0.3401,0,173.51
2024-11-17,2024,11,Sunday,6,True,96,175.13,185.14,16.02,376.52,124.41,0.4254,0,326.17
2024-11-18,2024,11,Monday,0,False,96,386.87,434.95,24.56,687.22,214.95,0.3498,0,622.34
2024-11-19,2024,11,Tuesday,1,False,96,521.92,576.1,358.67,663.97,100.49,0.284,0,254.47
2024-11-20,2024,11,Wednesday,2,False,96,509.42,536.56,244.72,695.56,138.06,0.2944,0,389.7
2024-11-21,2024,11,Thursday,3,False,96,506.83,499.2,349.79,692.21,100.31,0.2607,0,284.86
2024-11-22,2024,11,Friday,4,False,96,619.15,621.95,435.56,889.97,133.78,0.1683,0,356.5
2024-11-23,2024,11,Saturday,5,True,96,398.06,375.2,328.18,520.74,66.05,0.3317,0,174.04
2024-11-24,2024,11,Sunday,6,True,96,251.3,318.35,37.09,405.08,137.77,0.3593,0,347.56
2024-11-25,2024,11,Monday,0,False,96,313.84,356.1,-6.95,593.18,194.95,0.3861,16,546.02
2024-11-26,2024,11,Tuesday,1,False,96,645.15,604.79,290.89,1294.46,262.67,0.1725,0,737.43
2024-11-27,2024,11,Wednesday,2,False,96,697.02,655.12,419.64,1230.57,230.17,0.132,0,616.84
2024-11-28,2024,11,Thursday,3,False,96,511.06,544.36,227.84,719.71,145.43,0.2419,0,405.62
2024-11-29,2024,11,Friday,4,False,96,635.16,623.75,435.77,964.75,153.27,0.1354,0,430.28
2024-11-30,2024,11,Saturday,5,True,96,575.75,577.18,452.44,747.35,86.74,0.1254,0,234.52
2024-12-01,2024,12,Sunday,6,True,96,477.03,451.77,396.76,621.14,72.91,0.2079,0,200.51
2024-12-02,2024,12,Monday,0,False,96,504.67,492.62,302.42,765.49,133.44,0.227,0,372.0
2024-12-03,2024,12,Tuesday,1,False,96,681.0,655.48,428.51,1042.23,192.25,0.1059,0,540.01
2024-12-04,2024,12,Wednesday,2,False,96,759.98,838.5,494.92,1072.5,197.2,0.032,0,494.41
2024-12-05,2024,12,Thursday,3,False,96,715.22,696.18,368.63,1103.23,238.01,0.0887,0,603.86
2024-12-06,2024,12,Friday,4,False,96,468.76,528.56,147.19,646.43,166.71,0.2632,0,455.33
2024-12-07,2024,12,Saturday,5,True,96,542.46,539.08,388.9,683.94,90.08,0.1429,0,237.12
2024-12-08,2024,12,Sunday,6,True,96,467.37,470.12,343.85,640.95,89.99,0.1195,0,251.84
2024-12-09,2024,12,Monday,0,False,96,493.36,548.74,332.74,650.17,97.88,0.212,0,251.39
2024-12-10,2024,12,Tuesday,1,False,96,630.41,660.52,379.58,911.67,167.7,0.0809,0,462.18
2024-12-11,2024,12,Wednesday,2,False,96,790.99,814.62,475.9,1338.53,254.52,0.0384,0,665.8
2024-12-12,2024,12,Thursday,3,False,96,815.82,770.94,466.3,1455.01,300.95,0.0512,0,783.53
2024-12-13,2024,12,Friday,4,False,96,664.24,621.49,475.5,1064.33,172.7,0.0943,0,465.4
2024-12-14,2024,12,Saturday,5,True,96,406.58,439.3,81.95,485.39,93.5,0.2545,0,222.33
2024-12-15,2024,12,Sunday,6,True,96,165.45,203.74,0.82,331.42,132.59,0.4519,0,314.07
2024-12-16,2024,12,Monday,0,False,96,249.98,357.49,-41.92,403.81,179.25,0.4248,20,433.08
2024-12-17,2024,12,Tuesday,1,False,96,328.12,423.04,-27.43,517.1,198.82,0.3862,20,525.02
2024-12-18,2024,12,Wednesday,2,False,96,440.24,428.4,35.86,912.16,208.65,0.2823,0,582.7
2024-12-19,2024,12,Thursday,3,False,96,253.97,329.89,-9.13,403.92,149.42,0.3933,8,385.04
2024-12-20,2024,12,Friday,4,False,96,290.23,340.4,16.94,451.66,156.52,0.3914,0,416.21
2024-12-21,2024,12,Saturday,5,True,96,277.49,327.3,8.64,378.29,94.13,0.3574,0,235.4
2024-12-22,2024,12,Sunday,6,True,96,228.71,302.42,-17.83,433.93,187.58,0.3145,24,445.64
2024-12-23,2024,12,Monday,0,False,96,503.98,524.1,277.15,720.89,139.25,0.1142,0,393.61
2024-12-24,2024,12,Tuesday,1,False,96,441.0,444.63,369.24,523.14,46.58,0.0393,0,121.47
2024-12-25,2024,12,Wednesday,2,False,96,402.21,386.84,313.42,484.33,56.69,0.1714,0,154.85
2024-12-26,2024,12,Thursday,3,False,96,459.16,453.96,356.92,576.56,66.27,0.1312,0,191.81
2024-12-27,2024,12,Friday,4,False,96,552.72,539.62,447.96,711.23,81.53,0.0383,0,228.92
2024-12-28,2024,12,Saturday,5,True,96,511.02,504.35,434.61,618.81,54.67,0.0362,0,154.65
2024-12-29,2024,12,Sunday,6,True,96,422.26,419.06,265.47,527.86,52.96,0.1852,0,139.91
2024-12-30,2024,12,Monday,0,False,96,283.58,361.11,37.71,449.27,144.71,0.3819,0,374.19
2024-12-31,2024,12,Tuesday,1,False,96,200.51,279.66,-5.24,409.75,156.64,0.4033,12,386.22
2025-01-01,2025,1,Wednesday,2,False,96,-47.62,-17.6,-282.14,59.24,102.29,0.4509,60,282.21
2025-01-02,2025,1,Thursday,3,False,96,328.04,428.78,-64.55,611.04,235.38,0.3768,24,628.66
2025-01-03,2025,1,Friday,4,False,96,386.03,381.76,259.27,475.65,64.47,0.3657,0,178.15
2025-01-04,2025,1,Saturday,5,True,96,490.16,525.81,248.8,761.95,135.91,0.3068,0,385.94
2025-01-05,2025,1,Sunday,6,True,96,404.35,421.61,173.99,497.92,70.75,0.2192,0,182.65
2025-01-06,2025,1,Monday,0,False,96,237.08,250.28,78.04,380.29,94.76,0.4187,0,255.45
2025-01-07,2025,1,Tuesday,1,False,96,365.23,438.58,67.94,572.72,170.61,0.3262,0,456.04
2025-01-08,2025,1,Wednesday,2,False,96,441.37,468.46,195.82,635.75,137.05,0.2929,0,393.03
2025-01-09,2025,1,Thursday,3,False,96,537.23,570.48,367.41,700.5,96.12,0.2186,0,252.06
2025-01-10,2025,1,Friday,4,False,96,451.68,477.34,216.88,605.04,115.03,0.3372,0,320.2
2025-01-11,2025,1,Saturday,5,True,96,415.96,422.6,315.93,495.5,53.39,0.4193,0,154.96
2025-01-12,2025,1,Sunday,6,True,96,443.04,438.64,332.74,568.54,77.03,0.3767,0,214.52
2025-01-13,2025,1,Monday,0,False,96,581.99,591.41,423.47,911.96,124.68,0.1444,0,329.52
2025-01-14,2025,1,Tuesday,1,False,96,515.88,495.62,411.62,673.66,75.35,0.2667,0,209.64
2025-01-15,2025,1,Wednesday,2,False,96,859.44,947.2,450.84,1376.29,313.16,0.1,0,803.19
2025-01-16,2025,1,Thursday,3,False,96,617.81,601.88,482.74,818.23,107.24,0.1441,0,286.1
2025-01-17,2025,1,Friday,4,False,96,596.62,561.67,465.65,844.28,107.8,0.181,0,287.65
2025-01-18,2025,1,Saturday,5,True,96,559.06,529.71,479.89,715.22,72.81,0.1534,0,193.14
2025-01-19,2025,1,Sunday,6,True,96,532.58,513.04,451.56,660.53,57.6,0.0658,0,161.88
2025-01-20,2025,1,Monday,0,False,96,643.45,625.77,490.29,868.96,119.49,0.1415,0,328.33
2025-01-21,2025,1,Tuesday,1,False,96,670.67,617.44,485.14,988.24,156.87,0.0607,0,427.19
2025-01-22,2025,1,Wednesday,2,False,96,595.59,542.05,451.07,944.0,120.87,0.0655,0,313.96
2025-01-23,2025,1,Thursday,3,False,96,472.58,467.25,397.88,621.82,57.07,0.2398,0,156.6
2025-01-24,2025,1,Friday,4,False,96,454.68,456.44,275.75,608.25,81.01,0.255,0,221.97
2025-01-25,2025,1,Saturday,5,True,96,434.65,416.86,320.73,584.34,86.36,0.329,0,235.41
2025-01-26,2025,1,Sunday,6,True,96,468.58,464.64,391.57,545.91,40.51,0.2135,0,114.43
2025-01-27,2025,1,Monday,0,False,96,412.07,395.28,288.28,525.78,77.29,0.3114,0,209.53
2025-01-28,2025,1,Tuesday,1,False,96,492.18,505.29,345.78,622.9,85.46,0.195,0,233.2
2025-01-29,2025,1,Wednesday,2,False,96,452.12,428.82,332.55,606.3,89.54,0.2835,0,245.34
2025-01-30,2025,1,Thursday,3,False,96,552.77,543.17,397.63,751.48,108.93,0.2491,0,304.97
2025-01-31,2025,1,Friday,4,False,96,577.57,545.78,469.26,747.33,87.4,0.2199,0,229.57
2025-02-01,2025,2,Saturday,5,True,96,562.16,539.41,483.42,701.13,66.49,0.1451,0,179.83
2025-02-02,2025,2,Sunday,6,True,96,567.78,547.05,498.4,704.89,66.06,0.0762,0,178.49
2025-02-03,2025,2,Monday,0,False,96,648.1,575.82,507.54,969.19,143.75,0.092,0,364.73
2025-02-04,2025,2,Tuesday,1,False,96,611.18,553.16,468.36,869.25,122.11,0.1222,0,323.27
2025-02-05,2025,2,Wednesday,2,False,96,588.92,557.92,479.93,750.01,97.43,0.1505,0,253.78
2025-02-06,2025,2,Thursday,3,False,96,651.71,637.9,513.63,946.72,110.29,0.0742,0,289.97
2025-02-07,2025,2,Friday,4,False,96,547.37,512.62,432.19,746.04,80.83,0.1988,0,216.71
2025-02-08,2025,2,Saturday,5,True,96,462.98,407.48,290.83,664.21,117.66,0.3618,0,315.69
2025-02-09,2025,2,Sunday,6,True,96,526.02,519.1,381.23,662.99,74.37,0.1985,0,214.24
2025-02-10,2025,2,Monday,0,False,96,530.67,496.95,385.37,722.68,95.86,0.202,0,260.2
2025-02-11,2025,2,Tuesday,1,False,96,530.22,511.45,339.83,729.61,111.52,0.2093,0,300.43
2025-02-12,2025,2,Wednesday,2,False,96,572.74,554.41,410.58,761.27,93.59,0.1961,0,250.11
2025-02-13,2025,2,Thursday,3,False,96,698.0,689.86,524.47,957.33,125.06,0.0972,0,341.92
2025-02-14,2025,2,Friday,4,False,96,748.03,679.78,516.39,1250.04,200.16,0.1186,0,538.18
2025-02-15,2025,2,Saturday,5,True,96,569.23,553.37,469.21,747.75,74.72,0.1116,0,199.97
2025-02-16,2025,2,Sunday,6,True,96,548.19,518.07,439.44,810.41,99.24,0.1382,0,269.88
2025-02-17,2025,2,Monday,0,False,96,638.84,555.02,412.68,1136.36,196.25,0.1853,0,516.52
2025-02-18,2025,2,Tuesday,1,False,96,586.87,537.29,409.36,865.93,135.91,0.1715,0,372.79
2025-02-19,2025,2,Wednesday,2,False,96,593.99,521.47,393.56,970.16,183.54,0.1226,0,481.48
2025-02-20,2025,2,Thursday,3,False,96,469.71,454.16,309.32,676.64,93.81,0.225,0,265.49
2025-02-21,2025,2,Friday,4,False,96,442.13,430.52,308.08,666.02,108.93,0.3094,0,293.39
2025-02-22,2025,2,Saturday,5,True,96,345.6,369.79,34.73,478.14,122.4,0.374,0,339.95
